Trial time;Recording time;X center;Y center;Area;Areachange;Elongation;Velocity;Result 1
0;0;0,168816;0,00849839;0,00264603;0,000690534;0,787877;-;1
0,04;0,04;0,168816;0,00849839;0,00264603;0;0,787877;0;1
0,08;0,08;0,168027;-0,00149734;0,00254748;0,000807986;0,743171;0,250445;1
0,12;0,12;0,168027;-0,00149734;0,00254748;0;0,743171;0;1
0,16;0,16;0,168943;-0,0132899;0,00268991;0,00111444;0,746035;0,295436;1
0,2;0,2;0,168943;-0,0132899;0,00268991;0;0,746035;0;1
0,24;0,24;0,170829;-0,0256169;0,00277361;0,00108474;0,782531;0,311478;1
0,28;0,28;0,170829;-0,0256169;0,00277361;0;0,782531;0;1
0,32;0,32;0,173209;-0,0379159;0,00278171;0,000935562;0,826698;0,312901;1
0,36;0,36;0,173209;-0,0379159;0,00278171;0;0,826698;0;1
0,4;0,4;0,175839;-0,0499648;0,00273716;0,000851186;0,776337;0,308035;1
0,44;0,44;0,175839;-0,0499648;0,00273716;0;0,776337;0;1
0,48;0,48;0,180025;-0,0635064;0,00283909;0,00109014;0,84773;0,35403;1
0,52;0,52;0,180025;-0,0635064;0,00283909;0;0,84773;0;1
0,56;0,56;0,183063;-0,0753635;0,00271826;0,000816086;0,841993;0,305726;1
0,601;0,601;0,183063;-0,0753635;0,00271826;0;0,841993;0;1
0,641;0,641;0,183063;-0,0753635;0,00271826;0;0,841993;0;1
0,681;0,681;0,185566;-0,0885662;0,00281074;0,000662184;0,856047;0,335655;1
0,721;0,721;0,185566;-0,0885662;0,00281074;0;0,856047;0;1
0,761;0,761;0,185566;-0,0885662;0,00281074;0;0,856047;0;1
0,801;0,801;0,185566;-0,0885662;0,00281074;0;0,856047;0;1
0,841;0,841;0,185566;-0,0885662;0,00281074;0;0,856047;0;1
0,881;0,881;0,185566;-0,0885662;0,00281074;0;0,856047;0;1
0,921;0,921;0,181495;-0,098684;0,00268519;0,000433356;0,784003;0,272417;1
0,961;0,961;0,181495;-0,098684;0,00268519;0;0,784003;0;1
1,001;1,001;0,181495;-0,098684;0,00268519;0;0,784003;0;1
1,041;1,041;0,181495;-0,098684;0,00268519;0;0,784003;0;1
1,081;1,081;0,181495;-0,098684;0,00268519;0;0,784003;0;1
1,121;1,121;0,172515;-0,105641;0,00266494;0,000626408;0,743722;0,283735;1
1,161;1,161;0,172515;-0,105641;0,00266494;0;0,743722;0;1
1,201;1,201;0,172515;-0,105641;0,00266494;0;0,743722;0;1
1,241;1,241;0,163211;-0,114131;0,00264536;0,00135677;0,686445;0,314612;1
1,281;1,281;0,163211;-0,114131;0,00264536;0;0,686445;0;1
1,321;1,321;0,152996;-0,119086;0,00176582;0,00147354;0,539159;0,283585;1
1,361;1,361;0,152996;-0,119086;0,00176582;0;0,539159;0;1
1,401;1,401;0,142276;-0,123594;0,00255018;0,000658809;0,772859;0,290472;1
1,441;1,441;0,142276;-0,123594;0,00255018;0;0,772859;0;1
1,481;1,481;0,129697;-0,124133;0,00253938;0,00124944;0,720949;0,314482;1
1,521;1,521;0,129697;-0,124133;0,00253938;0;0,720949;0;1
1,561;1,561;0,116745;-0,120347;0,00235578;0,000838361;0,750852;0,337047;1
